NorESM3 name V1.0 table ,NorESM3 name (dependency),NOTES,CMIP6 Compound Name,CMIP7 Compound Name,Branded Variable Name,Link to Ranking,Min Rank in CMIP6 download statistics,Physical Parameter,Units (from Physical Parameter),CF Standard Name (from Physical Parameter),Title,Description,Spatial Shape,Extra dimensions,Coordinates,Type,Modelling Realm - Primary,Modelling Realm - Secondary,Dimensions,CMIP6 Table (legacy),CMIP6 Frequency (legacy),CMIP7 Freq.,Processing Note,Table Section (CMIP6),Positive Direction,Provenance,Temporal Shape,Cell Methods,Cell Measures,ESM-BCV 1.4,CMIP7 Variable Groups,Opportunity (from CMIP7 Variable Groups),Experiment Groups (from Opportunity),List of Experiments,Flag values,Flag meanings,Disambiguation,Temporal Sampling Rate,Horizontal Mesh,Vertical Dimension,Size,Conditional,Region,CF Standard Name (from Coordinates),Priority 3 (CMIP6),Priority 2 (CMIP6),Priority 1 (CMIP6),Variable Status,Physical Parameter Status,Flag - known issue,Branded Variable Name status,Flag - variable change since CMIP6,UID
FATES_FROOTC+?,(FATES_VEGC - FATES_VEGC_ABOVEGROUND) * FATES_FRAC,,Lmon.cRoot,land.cRoot.tavg-u-hxy-lnd.mon.glb,cRoot_tavg-u-hxy-lnd,Lmon.cRoot,245,cRoot,kg m-2,root_mass_content_of_carbon,Carbon Mass in Roots,including fine and coarse roots.,Global field (single level),,,real,land,,"longitude, latitude, time",Lmon,mon,mon,,,,Lmon ((isd.003)),time-intv,area: mean where land time: mean,area: areacella,,"FireMIP_monthly,land_carbon_cycle_tier2","Benchmarking and Attributing Changes to Global Carbon and other Biogeochemical Cycles,Constructing a Global Carbon Budget,Role of fire in the Earth system","picontrol,historical,scenarios,firemip_deck_subset,firemip_fast-track_subset,firemip-nonfasttrack,fast-track,historical,scenarios,fast-track,historical,scenarios","abrupt-127k,scen7-vl,1pctco2-bgc,1pctco2-rad,abrupt-0p5xco2,abrupt-2xco2,amip-p4k,amip-piforcing,esm-flat10-cdr,esm-flat10-zec,scen7-h,hist-aer,hist-ghg,hist-nat,hist-piaer,hist-piaq,dcppB-forecast-cmip6,land-hist,scen7-ln,scen7-ml,scen7-m,g7-1p5k-sai,piclim-aer,piclim-histaer,piclim-histall,piclim-ch4,esm-scen7-vl-aq,scen7-l,esm-flat10,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,piclim-nox,piclim-so2,piclim-ods,piclim-n2o,esm-scen7-vl-aer,esm-scen7-h-aq,esm-scen7-h-aer,scen7-hl,esm-scen7-hl,scen7-h-aer,scen7-h-aq,scen7-vl-aer,scen7-vl-aq,esm-hist,historical,abrupt-127k,scen7-vl,1pctco2-bgc,1pctco2-rad,abrupt-0p5xco2,abrupt-2xco2,amip-p4k,amip-piforcing,esm-flat10-cdr,esm-flat10-zec,scen7-h,hist-aer,hist-ghg,hist-nat,hist-piaer,hist-piaq,dcppB-forecast-cmip6,land-hist,scen7-ln,scen7-ml,scen7-m,g7-1p5k-sai,piclim-aer,piclim-histaer,piclim-histall,piclim-ch4,esm-scen7-vl-aq,scen7-l,esm-flat10,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,piclim-nox,piclim-so2,piclim-ods,piclim-n2o,esm-scen7-vl-aer,esm-scen7-h-aq,esm-scen7-h-aer,scen7-hl,esm-scen7-hl,scen7-h-aer,scen7-h-aq,scen7-vl-aer,scen7-vl-aq,esm-hist,historical,esm-piControl,picontrol,esm-hist,historical,scen7-vl,scen7-h,scen7-ln,scen7-ml,scen7-m,scen7-l,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,scen7-hl,esm-scen7-hl,piclim-4xco2,piclim-anthro,piclim-control,dcppB-forecast-cmip6,land-hist,hist-nat,hist-aer,hist-ghg,hist-noFire,esm-s7h-noFireChange",,,,120,68400,1,"8,208",,glb,,,,,CMIP6 CMOR variable,Existing physical parameter,,Accepted,,baa8dc06-e5dd-11e5-8482-ac72891c3257
FATES_LEAFC,FATES_LEAFC,,Lmon.cLeaf,land.cLeaf.tavg-u-hxy-lnd.mon.glb,cLeaf_tavg-u-hxy-lnd,Lmon.cLeaf,272,cLeaf,kg m-2,leaf_mass_content_of_carbon,Carbon Mass in Leaves,Carbon mass per unit area in leaves.,Global field (single level),,,real,land,,"longitude, latitude, time",Lmon,mon,mon,,,,Lmon ((isd.003)),time-intv,area: mean where land time: mean,area: areacella,,"FireMIP_monthly,land_carbon_cycle_tier2","Benchmarking and Attributing Changes to Global Carbon and other Biogeochemical Cycles,Constructing a Global Carbon Budget,Role of fire in the Earth system","picontrol,historical,scenarios,firemip_deck_subset,firemip_fast-track_subset,firemip-nonfasttrack,fast-track,historical,scenarios,fast-track,historical,scenarios","abrupt-127k,scen7-vl,1pctco2-bgc,1pctco2-rad,abrupt-0p5xco2,abrupt-2xco2,amip-p4k,amip-piforcing,esm-flat10-cdr,esm-flat10-zec,scen7-h,hist-aer,hist-ghg,hist-nat,hist-piaer,hist-piaq,dcppB-forecast-cmip6,land-hist,scen7-ln,scen7-ml,scen7-m,g7-1p5k-sai,piclim-aer,piclim-histaer,piclim-histall,piclim-ch4,esm-scen7-vl-aq,scen7-l,esm-flat10,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,piclim-nox,piclim-so2,piclim-ods,piclim-n2o,esm-scen7-vl-aer,esm-scen7-h-aq,esm-scen7-h-aer,scen7-hl,esm-scen7-hl,scen7-h-aer,scen7-h-aq,scen7-vl-aer,scen7-vl-aq,esm-hist,historical,abrupt-127k,scen7-vl,1pctco2-bgc,1pctco2-rad,abrupt-0p5xco2,abrupt-2xco2,amip-p4k,amip-piforcing,esm-flat10-cdr,esm-flat10-zec,scen7-h,hist-aer,hist-ghg,hist-nat,hist-piaer,hist-piaq,dcppB-forecast-cmip6,land-hist,scen7-ln,scen7-ml,scen7-m,g7-1p5k-sai,piclim-aer,piclim-histaer,piclim-histall,piclim-ch4,esm-scen7-vl-aq,scen7-l,esm-flat10,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,piclim-nox,piclim-so2,piclim-ods,piclim-n2o,esm-scen7-vl-aer,esm-scen7-h-aq,esm-scen7-h-aer,scen7-hl,esm-scen7-hl,scen7-h-aer,scen7-h-aq,scen7-vl-aer,scen7-vl-aq,esm-hist,historical,esm-piControl,picontrol,esm-hist,historical,scen7-vl,scen7-h,scen7-ln,scen7-ml,scen7-m,scen7-l,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,scen7-hl,esm-scen7-hl,piclim-4xco2,piclim-anthro,piclim-control,dcppB-forecast-cmip6,land-hist,hist-nat,hist-aer,hist-ghg,hist-noFire,esm-s7h-noFireChange",,,,120,68400,1,"8,208",,glb,,,,,CMIP6 CMOR variable,Existing physical parameter,,Accepted,,baa8aed4-e5dd-11e5-8482-ac72891c3257
FATES_STRUCTC,FATES_VEGC_ABOVEGROUND - FATES_LEAFC - FATES_REPROC - FATES_STOREC,,Emon.cStem,land.cStem.tavg-u-hxy-lnd.mon.glb,cStem_tavg-u-hxy-lnd,Emon.cStem,449,cStem,kg m-2,stem_mass_content_of_carbon,Carbon Mass in Stem,including sapwood and hardwood.,Global field (single level),,,real,land,,"longitude, latitude, time",Emon,mon,mon,,,,C4MIP [C_LandT2],time-intv,area: mean where land time: mean,area: areacella,,"FireMIP_monthly,land_carbon_cycle_tier2","Benchmarking and Attributing Changes to Global Carbon and other Biogeochemical Cycles,Constructing a Global Carbon Budget,Role of fire in the Earth system","picontrol,historical,scenarios,firemip_deck_subset,firemip_fast-track_subset,firemip-nonfasttrack,fast-track,historical,scenarios,fast-track,historical,scenarios","abrupt-127k,scen7-vl,1pctco2-bgc,1pctco2-rad,abrupt-0p5xco2,abrupt-2xco2,amip-p4k,amip-piforcing,esm-flat10-cdr,esm-flat10-zec,scen7-h,hist-aer,hist-ghg,hist-nat,hist-piaer,hist-piaq,dcppB-forecast-cmip6,land-hist,scen7-ln,scen7-ml,scen7-m,g7-1p5k-sai,piclim-aer,piclim-histaer,piclim-histall,piclim-ch4,esm-scen7-vl-aq,scen7-l,esm-flat10,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,piclim-nox,piclim-so2,piclim-ods,piclim-n2o,esm-scen7-vl-aer,esm-scen7-h-aq,esm-scen7-h-aer,scen7-hl,esm-scen7-hl,scen7-h-aer,scen7-h-aq,scen7-vl-aer,scen7-vl-aq,esm-hist,historical,abrupt-127k,scen7-vl,1pctco2-bgc,1pctco2-rad,abrupt-0p5xco2,abrupt-2xco2,amip-p4k,amip-piforcing,esm-flat10-cdr,esm-flat10-zec,scen7-h,hist-aer,hist-ghg,hist-nat,hist-piaer,hist-piaq,dcppB-forecast-cmip6,land-hist,scen7-ln,scen7-ml,scen7-m,g7-1p5k-sai,piclim-aer,piclim-histaer,piclim-histall,piclim-ch4,esm-scen7-vl-aq,scen7-l,esm-flat10,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,piclim-nox,piclim-so2,piclim-ods,piclim-n2o,esm-scen7-vl-aer,esm-scen7-h-aq,esm-scen7-h-aer,scen7-hl,esm-scen7-hl,scen7-h-aer,scen7-h-aq,scen7-vl-aer,scen7-vl-aq,esm-hist,historical,esm-piControl,picontrol,esm-hist,historical,scen7-vl,scen7-h,scen7-ln,scen7-ml,scen7-m,scen7-l,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,scen7-hl,esm-scen7-hl,piclim-4xco2,piclim-anthro,piclim-control,dcppB-forecast-cmip6,land-hist,hist-nat,hist-aer,hist-ghg,hist-noFire,esm-s7h-noFireChange",,,,120,68400,1,"8,208",,glb,,,,,CMIP6 CMOR variable,Existing physical parameter,,Accepted,,8b816262-4a5b-11e6-9cd2-ac72891c3257
NFIX_TO_SMINN,NFIX_TO_SMINN,,Emon.fBNF,land.fBNF.tavg-u-hxy-lnd.mon.glb,fBNF_tavg-u-hxy-lnd,Emon.fBNF,376,fBNF,kg m-2 s-1,tendency_of_soil_and_vegetation_mass_content_of_nitrogen_compounds_expressed_as_nitrogen_due_to_fixation,Biological Nitrogen Fixation,The fixation (uptake of nitrogen gas directly from the atmosphere) of nitrogen due to biological processes.,Global field (single level),,,real,land,,"longitude, latitude, time",Emon,mon,mon,,,,C4MIP [C_LandT1],time-intv,area: mean where land time: mean,area: areacella,,"FireMIP_monthly,land_nitrogen_cycle_tier1","Benchmarking and Attributing Changes to Global Carbon and other Biogeochemical Cycles,Role of fire in the Earth system","picontrol,historical,scenarios,firemip_deck_subset,firemip_fast-track_subset,firemip-nonfasttrack,fast-track,historical,scenarios","abrupt-127k,scen7-vl,1pctco2-bgc,1pctco2-rad,abrupt-0p5xco2,abrupt-2xco2,amip-p4k,amip-piforcing,esm-flat10-cdr,esm-flat10-zec,scen7-h,hist-aer,hist-ghg,hist-nat,hist-piaer,hist-piaq,dcppB-forecast-cmip6,land-hist,scen7-ln,scen7-ml,scen7-m,g7-1p5k-sai,piclim-aer,piclim-histaer,piclim-histall,piclim-ch4,esm-scen7-vl-aq,scen7-l,esm-flat10,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,piclim-nox,piclim-so2,piclim-ods,piclim-n2o,esm-scen7-vl-aer,esm-scen7-h-aq,esm-scen7-h-aer,scen7-hl,esm-scen7-hl,scen7-h-aer,scen7-h-aq,scen7-vl-aer,scen7-vl-aq,esm-hist,historical,esm-piControl,picontrol,esm-hist,historical,scen7-vl,scen7-h,scen7-ln,scen7-ml,scen7-m,scen7-l,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,scen7-hl,esm-scen7-hl,piclim-4xco2,piclim-anthro,piclim-control,dcppB-forecast-cmip6,land-hist,hist-nat,hist-aer,hist-ghg,hist-noFire,esm-s7h-noFireChange",,,,120,68400,1,"8,208",,glb,,,,,CMIP6 CMOR variable,Existing physical parameter,,Accepted,,8b80db30-4a5b-11e6-9cd2-ac72891c3257
DENIT+ F_N2O_NIT+ SMIN_NO3_LEACHED + SMIN_NO3_RUNOFF,DENIT+ F_N2O_NIT+ SMIN_NO3_LEACHED + SMIN_NO3_RUNOFF,,Emon.fNloss,land.fNloss.tavg-u-hxy-lnd.mon.glb,fNloss_tavg-u-hxy-lnd,Emon.fNloss,385,fNloss,kg m-2 s-1,surface_upward_mass_flux_of_nitrogen_compounds_expressed_as_nitrogen_out_of_vegetation_and_litter_and_soil,"Total Nitrogen Lost (Including NHx, NOx, N2O, N2 and Leaching)",Not all models split losses into gaseous and leaching,Global field (single level),,,real,land,,"longitude, latitude, time",Emon,mon,mon,,,,C4MIP [C_LandT1],time-intv,area: mean where land time: mean,area: areacella,,"FireMIP_monthly,land_nitrogen_cycle_tier1","Benchmarking and Attributing Changes to Global Carbon and other Biogeochemical Cycles,Role of fire in the Earth system","picontrol,historical,scenarios,firemip_deck_subset,firemip_fast-track_subset,firemip-nonfasttrack,fast-track,historical,scenarios","abrupt-127k,scen7-vl,1pctco2-bgc,1pctco2-rad,abrupt-0p5xco2,abrupt-2xco2,amip-p4k,amip-piforcing,esm-flat10-cdr,esm-flat10-zec,scen7-h,hist-aer,hist-ghg,hist-nat,hist-piaer,hist-piaq,dcppB-forecast-cmip6,land-hist,scen7-ln,scen7-ml,scen7-m,g7-1p5k-sai,piclim-aer,piclim-histaer,piclim-histall,piclim-ch4,esm-scen7-vl-aq,scen7-l,esm-flat10,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,piclim-nox,piclim-so2,piclim-ods,piclim-n2o,esm-scen7-vl-aer,esm-scen7-h-aq,esm-scen7-h-aer,scen7-hl,esm-scen7-hl,scen7-h-aer,scen7-h-aq,scen7-vl-aer,scen7-vl-aq,esm-hist,historical,esm-piControl,picontrol,esm-hist,historical,scen7-vl,scen7-h,scen7-ln,scen7-ml,scen7-m,scen7-l,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,scen7-hl,esm-scen7-hl,piclim-4xco2,piclim-anthro,piclim-control,dcppB-forecast-cmip6,land-hist,hist-nat,hist-aer,hist-ghg,hist-noFire,esm-s7h-noFireChange",,,,120,68400,1,"8,208",,glb,,,,,CMIP6 CMOR variable,Existing physical parameter,,Accepted,,8b80d0cc-4a5b-11e6-9cd2-ac72891c3257
SMINN,SMINN / 1000,,Emon.nMineral,land.nMineral.tavg-u-hxy-lnd.mon.glb,nMineral_tavg-u-hxy-lnd,Emon.nMineral,389,nMineral,kg m-2,soil_mass_content_of_inorganic_nitrogen_expressed_as_nitrogen,Mineral Nitrogen in the Soil,"SUM of ammonium, nitrite, nitrate, etc over all soil layers",Global field (single level),,,real,land,,"longitude, latitude, time",Emon,mon,mon,,,,C4MIP [C_LandT1],time-intv,area: mean where land time: mean,area: areacella,,"FireMIP_monthly,land_nitrogen_cycle_tier1","Benchmarking and Attributing Changes to Global Carbon and other Biogeochemical Cycles,Role of fire in the Earth system","picontrol,historical,scenarios,firemip_deck_subset,firemip_fast-track_subset,firemip-nonfasttrack,fast-track,historical,scenarios","abrupt-127k,scen7-vl,1pctco2-bgc,1pctco2-rad,abrupt-0p5xco2,abrupt-2xco2,amip-p4k,amip-piforcing,esm-flat10-cdr,esm-flat10-zec,scen7-h,hist-aer,hist-ghg,hist-nat,hist-piaer,hist-piaq,dcppB-forecast-cmip6,land-hist,scen7-ln,scen7-ml,scen7-m,g7-1p5k-sai,piclim-aer,piclim-histaer,piclim-histall,piclim-ch4,esm-scen7-vl-aq,scen7-l,esm-flat10,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,piclim-nox,piclim-so2,piclim-ods,piclim-n2o,esm-scen7-vl-aer,esm-scen7-h-aq,esm-scen7-h-aer,scen7-hl,esm-scen7-hl,scen7-h-aer,scen7-h-aq,scen7-vl-aer,scen7-vl-aq,esm-hist,historical,esm-piControl,picontrol,esm-hist,historical,scen7-vl,scen7-h,scen7-ln,scen7-ml,scen7-m,scen7-l,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,scen7-hl,esm-scen7-hl,piclim-4xco2,piclim-anthro,piclim-control,dcppB-forecast-cmip6,land-hist,hist-nat,hist-aer,hist-ghg,hist-noFire,esm-s7h-noFireChange",,,,120,68400,1,"8,208",,glb,,,,,CMIP6 CMOR variable,Existing physical parameter,,Accepted,,8b80cb4a-4a5b-11e6-9cd2-ac72891c3257
SOIL1N+SOIL2N+SOIL3N,(TOTSOMN+SMINN) / 1000,,Emon.nSoil,land.nSoil.tavg-u-hxy-lnd.mon.glb,nSoil_tavg-u-hxy-lnd,Emon.nSoil,345,nSoil,kg m-2,soil_mass_content_of_nitrogen,Nitrogen Mass in Soil Pool,Report missing data over ocean grid cells. For fractional land report value averaged over the land fraction.,Global field (single level),,,real,land,,"longitude, latitude, time",Emon,mon,mon,,,,PMIP [PMIP-Lmon-02],time-intv,area: mean where land time: mean,area: areacella,,"FireMIP_monthly,land_nitrogen_cycle_tier1","Benchmarking and Attributing Changes to Global Carbon and other Biogeochemical Cycles,Role of fire in the Earth system","picontrol,historical,scenarios,firemip_deck_subset,firemip_fast-track_subset,firemip-nonfasttrack,fast-track,historical,scenarios","abrupt-127k,scen7-vl,1pctco2-bgc,1pctco2-rad,abrupt-0p5xco2,abrupt-2xco2,amip-p4k,amip-piforcing,esm-flat10-cdr,esm-flat10-zec,scen7-h,hist-aer,hist-ghg,hist-nat,hist-piaer,hist-piaq,dcppB-forecast-cmip6,land-hist,scen7-ln,scen7-ml,scen7-m,g7-1p5k-sai,piclim-aer,piclim-histaer,piclim-histall,piclim-ch4,esm-scen7-vl-aq,scen7-l,esm-flat10,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,piclim-nox,piclim-so2,piclim-ods,piclim-n2o,esm-scen7-vl-aer,esm-scen7-h-aq,esm-scen7-h-aer,scen7-hl,esm-scen7-hl,scen7-h-aer,scen7-h-aq,scen7-vl-aer,scen7-vl-aq,esm-hist,historical,esm-piControl,picontrol,esm-hist,historical,scen7-vl,scen7-h,scen7-ln,scen7-ml,scen7-m,scen7-l,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,scen7-hl,esm-scen7-hl,piclim-4xco2,piclim-anthro,piclim-control,dcppB-forecast-cmip6,land-hist,hist-nat,hist-aer,hist-ghg,hist-noFire,esm-s7h-noFireChange",,,,120,68400,1,"8,208",,glb,,,,,CMIP6 CMOR variable,Existing physical parameter,,Accepted,,8b80baec-4a5b-11e6-9cd2-ac72891c3257
SMIN_NO3_LEACHED,(SMIN_NO3_LEACHED+ SMIN_NO3_RUNOFF) / 1000,,Emon.fNLandToOcean,land.fNLandToOcean.tavg-u-hxy-lnd.mon.glb,fNLandToOcean_tavg-u-hxy-lnd,Emon.fNLandToOcean,493,fNLandToOcean,kg m-2 s-1,mass_flux_of_nitrogen_compounds_expressed_as_nitrogen_into_sea_from_rivers,Lateral Transfer of Nitrogen out of Grid Cell That Eventually Goes into Ocean,leached nitrogen etc that goes into run off or river routing and finds its way into ocean should be reported here.,Global field (single level),,,real,land,,"longitude, latitude, time",Emon,mon,mon,,,,C4MIP [C_LandT1],time-intv,area: mean where land time: mean,area: areacella,,"FireMIP_monthly,land_nitrogen_cycle_tier1","Benchmarking and Attributing Changes to Global Carbon and other Biogeochemical Cycles,Role of fire in the Earth system","picontrol,historical,scenarios,firemip_deck_subset,firemip_fast-track_subset,firemip-nonfasttrack,fast-track,historical,scenarios","abrupt-127k,scen7-vl,1pctco2-bgc,1pctco2-rad,abrupt-0p5xco2,abrupt-2xco2,amip-p4k,amip-piforcing,esm-flat10-cdr,esm-flat10-zec,scen7-h,hist-aer,hist-ghg,hist-nat,hist-piaer,hist-piaq,dcppB-forecast-cmip6,land-hist,scen7-ln,scen7-ml,scen7-m,g7-1p5k-sai,piclim-aer,piclim-histaer,piclim-histall,piclim-ch4,esm-scen7-vl-aq,scen7-l,esm-flat10,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,piclim-nox,piclim-so2,piclim-ods,piclim-n2o,esm-scen7-vl-aer,esm-scen7-h-aq,esm-scen7-h-aer,scen7-hl,esm-scen7-hl,scen7-h-aer,scen7-h-aq,scen7-vl-aer,scen7-vl-aq,esm-hist,historical,esm-piControl,picontrol,esm-hist,historical,scen7-vl,scen7-h,scen7-ln,scen7-ml,scen7-m,scen7-l,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,scen7-hl,esm-scen7-hl,piclim-4xco2,piclim-anthro,piclim-control,dcppB-forecast-cmip6,land-hist,hist-nat,hist-aer,hist-ghg,hist-noFire,esm-s7h-noFireChange",,,,120,68400,1,"8,208",,glb,,,,,CMIP6 CMOR variable,Existing physical parameter,,Accepted,,8b80f0de-4a5b-11e6-9cd2-ac72891c3257
n/a,,,Emon.fNLitterSoil,land.fNLitterSoil.tavg-u-hxy-lnd.mon.glb,fNLitterSoil_tavg-u-hxy-lnd,Emon.fNLitterSoil,588,fNLitterSoil,kg m-2 s-1,nitrogen_mass_flux_into_soil_from_litter,Total Nitrogen Mass Flux from Litter to Soil,"In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics. ""Litter"" is dead plant material in or above the soil.",Global field (single level),,,real,land,,"longitude, latitude, time",Emon,mon,mon,,,,C4MIP [C_LandT1],time-intv,area: mean where land time: mean,area: areacella,,"FireMIP_monthly,land_nitrogen_cycle_tier1","Benchmarking and Attributing Changes to Global Carbon and other Biogeochemical Cycles,Role of fire in the Earth system","picontrol,historical,scenarios,firemip_deck_subset,firemip_fast-track_subset,firemip-nonfasttrack,fast-track,historical,scenarios","abrupt-127k,scen7-vl,1pctco2-bgc,1pctco2-rad,abrupt-0p5xco2,abrupt-2xco2,amip-p4k,amip-piforcing,esm-flat10-cdr,esm-flat10-zec,scen7-h,hist-aer,hist-ghg,hist-nat,hist-piaer,hist-piaq,dcppB-forecast-cmip6,land-hist,scen7-ln,scen7-ml,scen7-m,g7-1p5k-sai,piclim-aer,piclim-histaer,piclim-histall,piclim-ch4,esm-scen7-vl-aq,scen7-l,esm-flat10,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,piclim-nox,piclim-so2,piclim-ods,piclim-n2o,esm-scen7-vl-aer,esm-scen7-h-aq,esm-scen7-h-aer,scen7-hl,esm-scen7-hl,scen7-h-aer,scen7-h-aq,scen7-vl-aer,scen7-vl-aq,esm-hist,historical,esm-piControl,picontrol,esm-hist,historical,scen7-vl,scen7-h,scen7-ln,scen7-ml,scen7-m,scen7-l,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,scen7-hl,esm-scen7-hl,piclim-4xco2,piclim-anthro,piclim-control,dcppB-forecast-cmip6,land-hist,hist-nat,hist-aer,hist-ghg,hist-noFire,esm-s7h-noFireChange",,,,120,68400,1,"8,208",,glb,,,,,CMIP6 CMOR variable,Existing physical parameter,,Accepted,,8b80f638-4a5b-11e6-9cd2-ac72891c3257
n/a,,,Emon.fNup,land.fNup.tavg-u-hxy-lnd.mon.glb,fNup_tavg-u-hxy-lnd,Emon.fNup,348,fNup,kg m-2 s-1,tendency_of_vegetation_mass_content_of_nitrogen_compounds_expressed_as_nitrogen_due_to_fixation,Total Plant Nitrogen Uptake (Sum of Ammonium and Nitrate) Irrespective of the Source of Nitrogen,The uptake of nitrogen by fixation: nitrogen fixation means the uptake of nitrogen gas directly from the atmosphere.,Global field (single level),,,real,land,,"longitude, latitude, time",Emon,mon,mon,,,,C4MIP [C_LandT1],time-intv,area: mean where land time: mean,area: areacella,,"FireMIP_monthly,land_nitrogen_cycle_tier1","Benchmarking and Attributing Changes to Global Carbon and other Biogeochemical Cycles,Role of fire in the Earth system","picontrol,historical,scenarios,firemip_deck_subset,firemip_fast-track_subset,firemip-nonfasttrack,fast-track,historical,scenarios","abrupt-127k,scen7-vl,1pctco2-bgc,1pctco2-rad,abrupt-0p5xco2,abrupt-2xco2,amip-p4k,amip-piforcing,esm-flat10-cdr,esm-flat10-zec,scen7-h,hist-aer,hist-ghg,hist-nat,hist-piaer,hist-piaq,dcppB-forecast-cmip6,land-hist,scen7-ln,scen7-ml,scen7-m,g7-1p5k-sai,piclim-aer,piclim-histaer,piclim-histall,piclim-ch4,esm-scen7-vl-aq,scen7-l,esm-flat10,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,piclim-nox,piclim-so2,piclim-ods,piclim-n2o,esm-scen7-vl-aer,esm-scen7-h-aq,esm-scen7-h-aer,scen7-hl,esm-scen7-hl,scen7-h-aer,scen7-h-aq,scen7-vl-aer,scen7-vl-aq,esm-hist,historical,esm-piControl,picontrol,esm-hist,historical,scen7-vl,scen7-h,scen7-ln,scen7-ml,scen7-m,scen7-l,esm-scen7-h,esm-scen7-m,esm-scen7-ml,esm-scen7-l,esm-scen7-vl,esm-scen7-ln,scen7-hl,esm-scen7-hl,piclim-4xco2,piclim-anthro,piclim-control,dcppB-forecast-cmip6,land-hist,hist-nat,hist-aer,hist-ghg,hist-noFire,esm-s7h-noFireChange",,,,120,68400,1,"8,208",,glb,,,,,CMIP6 CMOR variable,Existing physical parameter,,Accepted,,8b80e08a-4a5b-11e6-9cd2-ac72891c3257
